entrantId,positionOrder,positionText,laps,time
6126,1,1,,79748
6123,2,2,,79951
6127,3,3,,80541
6122,4,4,,80576
6176,5,5,,81253
6142,6,6,,81415
6162,7,7,,81515
6125,8,8,,81915
6135,9,9,,81955
6136,10,10,,81983
6157,11,11,,82030
6153,12,12,,82043
6144,13,13,,82719
6171,14,14,,82740
6143,15,15,,82743
6170,16,16,,82786
6124,17,17,,82821
6181,18,18,,83083
6156,19,19,,83179
6166,20,20,,83200
6169,21,21,,83240
6149,22,22,,83287
6150,23,23,,83317
6141,24,24,,84242
6179,25,25,,84450
6168,26,26,,85257
6132,27,27,,85634
6173,28,28,,86208
6154,29,29,,86281
6155,30,30,,87271
