entrantId,positionOrder,positionText,laps,time
6122,1,1,,101442
6126,2,2,,101932
6127,3,3,,102229
6171,4,4,,102631
6123,5,5,,102651
6181,6,6,,103287
6153,7,7,,103402
6150,8,8,,104239
6176,9,9,,104319
6143,10,10,,104553
6141,11,11,,104640
6182,12,12,,104973
6125,13,13,,105031
6168,14,14,,105073
6156,15,15,,105108
6144,16,16,,105349
6162,17,17,,105394
6135,18,18,,105574
6170,19,19,,105792
6142,20,20,,106068
6165,21,21,,106338
6172,22,22,,106537
6169,23,23,,107137
6132,24,24,,107451
6124,25,25,,108050
6179,26,26,,109039
