entrantId,positionOrder,positionText,laps,time
6191,1,1,,75804
6187,2,2,,77211
6192,3,3,,77337
6188,4,4,,77749
6211,5,5,,78087
6203,6,6,,78163
6212,7,7,,78725
6190,8,8,,78810
6204,9,9,,78933
6201,10,10,,79076
6209,11,11,,79338
6195,12,12,,79594
6189,13,13,,79624
6198,14,14,,79729
6200,15,15,,79798
6207,16,16,,79864
6216,17,17,,79984
6210,18,18,,80035
6214,19,19,,80642
6206,20,20,,80681
6205,21,21,,81060
6199,22,22,,81210
6215,23,23,,81233
6202,24,24,,81391
6197,25,25,,81529
6208,26,26,,81567
6193,27,27,,81664
6194,28,28,,83345
6196,29,29,,84311
6213,30,30,,86833
