sessionId,entrantId,positionOrder,positionText,laps,time
1992-01-WU,6191,1,1,,79043
1992-01-WU,6203,2,2,,79775
1992-01-WU,6192,3,3,,80299
1992-01-WU,6187,4,4,,80347
1992-01-WU,6204,5,5,,81030
1992-01-WU,6211,6,6,,81072
1992-01-WU,6188,7,7,,81230
1992-01-WU,6190,8,8,,81357
1992-01-WU,6189,9,9,,81454
1992-01-WU,6201,10,10,,81740
1992-01-WU,6209,11,11,,81750
1992-01-WU,6198,12,12,,81792
1992-01-WU,6212,13,13,,81856
1992-01-WU,6216,14,14,,81937
1992-01-WU,6210,15,15,,82229
1992-01-WU,6205,16,16,,82239
1992-01-WU,6207,17,17,,82405
1992-01-WU,6208,18,18,,82441
1992-01-WU,6196,19,19,,82459
1992-01-WU,6200,20,20,,82685
1992-01-WU,6195,21,21,,82786
1992-01-WU,6197,22,22,,82930
1992-01-WU,6213,23,23,,83112
1992-01-WU,6214,24,24,,83642
1992-01-WU,6193,25,25,,84671
1992-01-WU,6206,26,26,,84928
