sessionId,entrantId,positionOrder,positionText,laps,time
1992-09-WU,6191,1,1,,84968
1992-09-WU,6192,2,2,,85738
1992-09-WU,6226,3,3,,86259
1992-09-WU,6227,4,4,,86510
1992-09-WU,6221,5,5,,86606
1992-09-WU,6222,6,6,,87126
1992-09-WU,6228,7,7,,87241
1992-09-WU,6213,8,8,,87576
1992-09-WU,6211,9,9,,87592
1992-09-WU,6209,10,10,,87657
1992-09-WU,6212,11,11,,87726
1992-09-WU,6196,12,12,,88266
1992-09-WU,6210,13,13,,88281
1992-09-WU,6232,14,14,,88297
1992-09-WU,6214,15,15,,88340
1992-09-WU,6206,16,16,,88394
1992-09-WU,6230,17,17,,88652
1992-09-WU,6201,18,18,,88755
1992-09-WU,6205,19,19,,88780
1992-09-WU,6215,20,20,,89051
1992-09-WU,6195,21,21,,89151
1992-09-WU,6189,22,22,,89332
1992-09-WU,6190,23,23,,90409
1992-09-WU,6225,24,24,,91349
1992-09-WU,6216,25,25,,91567
