entrantId,positionOrder,positionText,laps,time
6235,1,1,,115409
6226,2,2,,116571
6222,3,3,,116762
6221,4,4,,117243
6236,5,5,,117524
6227,6,6,,117531
6231,7,7,,117549
6240,8,8,,118617
6209,9,9,,119062
6212,10,10,,119422
6213,11,11,,119439
6201,12,12,,119505
6190,13,13,,119690
6196,14,14,,119858
6195,15,15,,120018
6189,16,16,,120488
6206,17,17,,120792
6205,18,18,,120827
6215,19,19,,120987
6228,20,20,,121044
6239,21,21,,121536
6230,22,22,,121682
6216,23,23,,122404
6214,24,24,,122704
6232,25,25,,123097
6238,26,26,,123805
