entrantId,positionOrder,positionText,laps,time
6245,1,1,10,75866
6244,2,2,9,76859
6251,3,3,12,77697
6248,4,4,10,77821
6250,5,5,10,78635
6249,6,6,11,79049
6271,7,7,12,79207
6270,8,8,12,79270
6267,9,9,12,79296
6260,10,10,10,79340
6255,11,11,12,79435
6268,12,12,12,79549
6256,13,13,11,79593
6269,14,14,12,79735
6254,15,15,12,79804
6266,16,16,12,79835
6261,17,17,12,79868
6252,18,18,11,80064
6253,19,19,11,80232
6264,20,20,12,80716
6263,21,21,11,80908
6246,22,22,11,80991
6265,23,23,12,81228
6247,24,24,12,81368
6262,25,25,9,81488
6257,26,26,12,81789
