sessionId,entrantId,positionOrder,positionText,laps,time
1993-09-FP2,6244,1,1,,80434
1993-09-FP2,6245,2,2,,80436
1993-09-FP2,6272,3,3,,81513
1993-09-FP2,6273,4,4,,82428
1993-09-FP2,6255,5,5,,82734
1993-09-FP2,6275,6,6,,83372
1993-09-FP2,6267,7,7,,83413
1993-09-FP2,6250,8,8,,83426
1993-09-FP2,6254,9,9,,83453
1993-09-FP2,6251,10,10,,83573
1993-09-FP2,6266,11,11,,83588
1993-09-FP2,6256,12,12,,83617
1993-09-FP2,6271,13,13,,83810
1993-09-FP2,6268,14,14,,83845
1993-09-FP2,6274,15,15,,83941
1993-09-FP2,6270,16,16,,84321
1993-09-FP2,6269,17,17,,84336
1993-09-FP2,6261,18,18,,84393
1993-09-FP2,6277,19,19,,85121
1993-09-FP2,6246,20,20,,85379
1993-09-FP2,6276,21,21,,85491
1993-09-FP2,6260,22,22,,85592
1993-09-FP2,6278,23,23,,85950
1993-09-FP2,6264,24,24,,86151
1993-09-FP2,6263,25,25,,86278
1993-09-FP2,6262,26,26,,87193
