sessionId,entrantId,positionOrder,positionText,laps,time
1994-02-FP2,6291,1,1,17,71852
1994-02-FP2,6288,2,2,21,72067
1994-02-FP2,6310,3,3,21,72937
1994-02-FP2,6316,4,4,22,73021
1994-02-FP2,6293,5,5,21,73101
1994-02-FP2,6292,6,6,21,73223
1994-02-FP2,6299,7,7,21,73613
1994-02-FP2,6295,8,8,21,73691
1994-02-FP2,6294,9,9,20,73716
1994-02-FP2,6308,10,10,21,73819
1994-02-FP2,6304,11,11,21,74017
1994-02-FP2,6303,12,12,21,74116
1994-02-FP2,6296,13,13,12,74140
1994-02-FP2,6309,14,14,20,74323
1994-02-FP2,6287,15,15,4,74365
1994-02-FP2,6315,16,16,21,74526
1994-02-FP2,6290,17,17,21,74538
1994-02-FP2,6302,18,18,21,74714
1994-02-FP2,6289,19,19,13,74806
1994-02-FP2,6301,20,20,20,74837
1994-02-FP2,6298,21,21,21,74962
1994-02-FP2,6306,22,22,13,75008
1994-02-FP2,6305,23,23,21,75608
1994-02-FP2,6297,24,24,21,75836
1994-02-FP2,6311,25,25,21,75946
1994-02-FP2,6312,26,26,17,76289
1994-02-FP2,6313,27,27,5,78536
1994-02-FP2,6314,28,28,11,78586
