entrantId,positionOrder,positionText,laps,time
6288,1,1,16,82597
6287,2,2,14,83449
6316,3,3,9,83795
6309,4,4,11,83922
6308,5,5,13,84302
6295,6,6,14,84396
6296,7,7,13,84468
6317,8,8,6,84856
6290,9,9,11,84891
6293,10,10,16,84924
6291,11,11,12,84978
6303,12,12,13,85051
6310,13,13,8,85133
6294,14,14,12,85455
6306,15,15,14,86025
6304,16,16,12,86423
6318,17,17,12,86557
6311,18,18,7,86880
6301,19,19,13,86906
6302,20,20,8,87080
6314,21,21,8,87623
6298,22,22,8,88390
6305,23,23,10,88774
6297,24,24,2,102987
