entrantId,positionOrder,positionText,laps,time
6291,1,1,7,82762
6331,2,2,11,82892
6340,3,3,12,83392
6310,4,4,10,83431
6299,5,5,10,83455
6329,6,6,12,83677
6344,7,7,11,84040
6296,8,8,12,84079
6293,9,9,12,84122
6300,10,10,12,84157
6306,11,11,10,84432
6292,12,12,11,84643
6289,13,13,12,84738
6290,14,14,3,84770
6294,15,15,12,85110
6323,16,16,12,85294
6325,17,17,3,85411
6295,18,18,12,85427
6324,19,19,12,85511
6342,20,20,11,85557
6341,21,21,11,85595
6311,22,22,12,86065
6302,23,23,11,86272
6343,24,24,12,87168
6345,25,25,10,87976
6339,26,26,9,89488
6338,27,27,12,90234
6328,28,28,2,104801
