entrantId,positionOrder,positionText,laps,time
6340,1,1,13,76377
6328,2,2,11,76866
6291,3,3,14,77153
6294,4,4,14,77290
6293,5,5,17,77584
6331,6,6,17,77643
6299,7,7,15,77694
6289,8,8,15,77945
6300,9,9,14,78038
6290,10,10,15,78167
6295,11,11,17,78188
6306,12,12,20,78227
6310,13,13,17,78234
6323,14,14,13,78242
6346,15,15,15,78414
6329,16,16,8,78480
6296,17,17,15,78824
6342,18,18,14,78852
6347,19,19,13,79173
6348,20,20,13,79269
6349,21,21,15,79726
6324,22,22,17,79748
6311,23,23,14,80425
6345,24,24,12,80676
6343,25,25,14,81518
6351,26,26,16,82324
