entrantId,positionOrder,positionText,laps,time
6357,1,1,11,81581
6356,2,2,14,81599
6352,3,3,10,82124
6373,4,4,10,82256
6374,5,5,10,82263
6359,6,6,12,82314
6353,7,7,5,82675
6364,8,8,13,82702
6365,9,9,11,82731
6375,10,10,11,83034
6377,11,11,11,83266
6355,12,12,13,83461
6354,13,13,12,83674
6358,14,14,11,83708
6372,15,15,12,83867
6370,16,16,10,85644
6376,17,17,10,85789
6366,18,18,11,85822
6371,19,19,15,85932
6361,20,20,11,86709
6368,21,21,11,87522
6360,22,22,5,94262
6369,23,23,3,98108
6367,24,24,2,415785
