entrantId,positionOrder,positionText,laps,time
6374,1,1,15,110363
6364,2,2,11,110620
6375,3,3,12,111805
6352,4,4,14,111844
6384,5,5,12,112370
6377,6,6,11,113202
6385,7,7,14,113444
6371,8,8,13,113462
6383,9,9,13,113761
6353,10,10,12,113898
6373,11,11,13,113944
6357,12,12,11,114586
6382,13,13,14,114755
6355,14,14,13,115162
6360,15,15,10,115985
6356,16,16,9,115993
6354,17,17,12,116200
6367,18,18,11,117665
6366,19,19,10,119980
6370,20,20,6,120145
6361,21,21,8,123906
6369,22,22,7,125405
6368,23,23,10,128923
6365,24,24,3,134920
