entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6353,1,1,5675093,5,,61,10,1,10,,
6374,2,2,5691572,6,,61,6,1,6,,
6357,3,3,5698981,3,,61,4,1,4,,
6373,4,4,5768261,13,,61,3,1,3,,
6383,5,5,5783265,10,,61,2,1,2,,
6377,6,6,,12,,60,1,1,1,,
6370,7,7,,15,,60,0,1,0,,
6355,8,8,,23,,60,0,1,0,,
6385,9,9,,16,,60,0,1,0,,
6371,10,10,,18,,60,0,1,0,,
6364,11,11,,9,,59,0,1,0,,Collision
6366,12,12,,21,,58,0,1,0,,
6369,13,DNF,,22,,48,0,1,0,,Engine
6352,14,DNF,,2,,45,0,1,0,,Collision
6356,15,DNF,,1,,45,0,1,0,,Collision
6387,16,DNF,,17,,28,0,1,0,,Spun off
6354,17,DNF,,14,,22,0,1,0,,Out of fuel
6367,18,DNF,,24,,21,0,1,0,,Spun off
6384,19,DNF,,8,,20,0,1,0,,Electrical
6375,20,DNF,,4,,20,0,1,0,,Wheel
6382,21,DNF,,11,,16,0,1,0,,Spun off
6361,22,DNF,,19,,16,0,1,0,,Spun off
6368,23,DNF,,20,,13,0,1,0,,Gearbox
6365,24,DNF,,7,,2,0,1,0,,Electrical
