sessionId,entrantId,positionOrder,positionText,laps,time
1995-10-FP1,6352,1,1,15,81156
1995-10-FP1,6357,2,2,16,81234
1995-10-FP1,6375,3,3,20,81504
1995-10-FP1,6356,4,4,20,81864
1995-10-FP1,6374,5,5,18,81933
1995-10-FP1,6373,6,6,21,82269
1995-10-FP1,6384,7,7,20,82446
1995-10-FP1,6365,8,8,11,82886
1995-10-FP1,6364,9,9,8,83290
1995-10-FP1,6389,10,10,23,83447
1995-10-FP1,6353,11,11,21,83529
1995-10-FP1,6383,12,12,19,83623
1995-10-FP1,6377,13,13,20,83903
1995-10-FP1,6382,14,14,16,84096
1995-10-FP1,6354,15,15,23,84686
1995-10-FP1,6371,16,16,23,84997
1995-10-FP1,6385,17,17,19,85036
1995-10-FP1,6355,18,18,23,85467
1995-10-FP1,6387,19,19,20,85522
1995-10-FP1,6361,20,20,20,87003
1995-10-FP1,6367,21,21,12,87623
1995-10-FP1,6368,22,22,20,88196
1995-10-FP1,6369,23,23,18,88591
1995-10-FP1,6388,24,24,19,90087
