entrantId,positionOrder,positionText,laps,time
6352,1,1,12,78838
6384,2,2,11,79269
6374,3,3,12,79656
6356,4,4,14,79793
6373,5,5,16,79940
6365,6,6,14,80367
6357,7,7,11,80654
6382,8,8,16,80784
6383,9,9,12,80863
6353,10,10,16,80984
6364,11,11,11,81061
6375,12,12,11,81159
6377,13,13,13,81234
6385,14,14,11,82188
6355,15,15,13,82372
6354,16,16,13,82551
6389,17,17,13,82881
6361,18,18,12,83595
6367,19,19,13,84177
6387,20,20,12,84798
6369,21,21,13,85239
6368,22,22,8,88012
6388,23,23,4,89455
6371,24,24,4,299758
