entrantId,positionOrder,positionText,laps,time
6356,1,1,23,81443
6357,2,2,18,82258
6352,3,3,21,82517
6374,4,4,18,82854
6375,5,5,21,83046
6377,6,6,23,83306
6382,7,7,22,83307
6365,8,8,15,83362
6364,9,9,14,83707
6390,10,10,23,83771
6384,11,11,21,83785
6373,12,12,21,83825
6353,13,13,23,83884
6354,14,14,21,84926
6385,15,15,23,85092
6355,16,16,19,85099
6361,17,17,15,85390
6387,18,18,20,85421
6389,19,19,23,85535
6371,20,20,23,85811
6367,21,21,12,88023
6369,22,22,23,88040
6368,23,23,23,88606
6391,24,24,19,93409
