sessionId,entrantId,positionOrder,positionText,laps,time
1995-13-Q1,6356,1,1,11,81322
1995-13-Q1,6357,2,2,10,81423
1995-13-Q1,6352,3,3,9,81885
1995-13-Q1,6375,4,4,9,82281
1995-13-Q1,6374,5,5,9,82656
1995-13-Q1,6365,6,6,6,82957
1995-13-Q1,6384,7,7,10,83064
1995-13-Q1,6364,8,8,10,83142
1995-13-Q1,6382,9,9,11,83244
1995-13-Q1,6373,10,10,11,83284
1995-13-Q1,6377,11,11,10,83485
1995-13-Q1,6353,12,12,11,83786
1995-13-Q1,6390,13,13,10,84583
1995-13-Q1,6354,14,14,9,84631
1995-13-Q1,6361,15,15,12,84883
1995-13-Q1,6355,16,16,11,84942
1995-13-Q1,6387,17,17,12,85696
1995-13-Q1,6371,18,18,11,85746
1995-13-Q1,6389,19,19,11,86210
1995-13-Q1,6367,20,20,4,87659
1995-13-Q1,6369,21,21,12,88672
1995-13-Q1,6368,22,22,4,89137
1995-13-Q1,6385,23,23,1,860150
