entrantId,lap,time,timeOfDay,annotation
6369,9,46620,14:14:16,
6373,10,30650,14:14:38,
6352,18,27689,14:25:26,
6356,18,36095,14:25:27,
6375,18,28667,14:25:45,
6382,18,30904,14:25:58,
6364,18,28995,14:26:20,
6369,18,32823,14:29:00,
6357,20,29899,14:26:44,
6353,20,29140,14:27:18,
6384,20,31465,14:29:07,
6367,20,31571,14:30:00,
6355,21,33503,14:31:01,
6368,21,34107,14:32:15,
6390,22,31527,14:32:06,
6361,22,30450,14:33:03,
6377,23,29931,14:33:30,
6374,24,31140,14:34:35,
6385,24,31051,14:35:03,
6365,25,35075,14:36:26,
6375,33,29496,14:47:37,
6352,35,28277,14:49:54,
6353,36,29976,14:52:13,
6382,36,29864,14:52:25,
6371,36,41894,14:53:56,
6357,38,30544,14:54:03,
6364,40,29685,14:58:38,
6369,40,32849,15:03:54,
6356,44,31663,15:03:02,
6367,44,34931,15:06:12,
6368,44,32238,15:08:07,
6375,45,30676,15:05:20,
6361,45,32243,15:07:45,
6390,46,30625,15:07:26,
6355,46,31079,15:08:24,
6374,47,30419,15:08:12,
6377,47,30793,15:08:29,
6385,48,30069,15:10:26,
6367,48,29522,15:12:40,
6365,49,30580,15:11:49,
6357,54,28374,15:17:13,
6352,54,27312,15:17:22,
6382,54,28793,15:18:47,
6353,55,27784,15:19:59,
6364,58,28305,15:25:00,
