entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6357,1,1,6112145,1,,71,10,1,10,,
6352,2,2,6119393,3,,71,6,1,6,,
6356,3,3,6134266,2,,71,4,1,4,,
6375,4,4,6197024,4,,71,3,1,3,,
6374,5,5,6197574,7,,71,2,1,2,,
6377,6,6,,5,,70,1,1,1,,
6353,7,7,,6,,70,0,1,0,,
6382,8,8,,9,,70,0,1,0,,
6390,9,9,,12,,70,0,1,0,,
6365,10,10,,10,,70,0,1,0,,
6364,11,11,,8,,70,0,1,0,,
6385,12,12,,14,,70,0,1,0,,
6355,13,13,,15,,69,0,1,0,,
6371,14,14,,18,,68,0,1,0,,
6361,15,15,,19,,68,0,1,0,,
6368,16,16,,22,,66,0,1,0,,
6369,17,17,,23,,64,0,1,0,,
6367,18,DNF,,21,,53,0,1,0,,Gearbox
6384,19,DNF,,13,,44,0,1,0,,Engine
6391,20,DNF,,24,,14,0,1,0,,Physical
6373,21,DNF,,11,,10,0,1,0,,Spun off
6389,22,DNF,,17,,7,0,1,0,,Gearbox
6354,23,DNF,,16,,0,0,1,0,,Collision
6387,24,DNF,,20,,0,0,1,0,,Gearbox
