sessionId,entrantId,positionOrder,positionText,laps,time
1995-13-WU,6375,1,1,10,83037
1995-13-WU,6356,2,2,15,83047
1995-13-WU,6384,3,3,13,83129
1995-13-WU,6357,4,4,12,83669
1995-13-WU,6377,5,5,9,83759
1995-13-WU,6374,6,6,12,83831
1995-13-WU,6364,7,7,14,84733
1995-13-WU,6353,8,8,13,84832
1995-13-WU,6352,9,9,11,84941
1995-13-WU,6382,10,10,15,84941
1995-13-WU,6365,11,11,10,85065
1995-13-WU,6373,12,12,14,85223
1995-13-WU,6385,13,13,15,85445
1995-13-WU,6390,14,14,10,85531
1995-13-WU,6355,15,15,14,86332
1995-13-WU,6361,16,16,16,86733
1995-13-WU,6354,17,17,6,86773
1995-13-WU,6371,18,18,15,86908
1995-13-WU,6387,19,19,11,86912
1995-13-WU,6389,20,20,15,87754
1995-13-WU,6368,21,21,13,88728
1995-13-WU,6367,22,22,9,89141
1995-13-WU,6369,23,23,9,90930
1995-13-WU,6391,24,24,8,92358
