entrantId,positionOrder,positionText,laps,time
6394,1,1,14,76831
6385,2,2,14,77531
6393,3,3,18,77534
6373,4,4,16,77613
6377,5,5,13,77662
6365,6,6,17,77970
6375,7,7,11,78082
6352,8,8,17,78181
6374,9,9,13,78183
6383,10,10,17,78293
6353,11,11,15,78316
6364,12,12,16,78486
6396,13,13,12,78972
6360,14,14,15,79014
6389,15,15,16,79502
6355,16,16,13,79716
6372,17,17,19,79727
6371,18,18,18,79892
6361,19,19,17,79969
6354,20,20,16,80173
6367,21,21,5,80992
6368,22,22,15,82429
6369,23,23,10,82985
6366,24,24,4,83580
