entrantId,lap,time,timeOfDay,annotation
6393,19,25343,14:24:54,
6375,19,28049,14:25:20,
6352,22,23478,14:29:08,
6377,22,25236,14:29:35,
6374,23,38549,14:30:48,
6352,24,45209,14:32:15,
6373,24,28136,14:32:57,
6365,25,26273,14:33:47,
6389,25,27363,14:35:28,
6355,26,49130,14:36:15,
6368,26,28619,14:36:57,
6366,26,32712,14:37:28,
6382,27,31376,14:36:45,
6360,28,28479,14:38:31,
6354,28,29249,14:39:25,
6353,31,25814,14:41:45,
6383,33,26311,14:45:38,
6393,40,25478,14:52:56,
6365,41,24733,14:55:51,
6355,51,29230,15:11:17,
6366,51,30282,15:13:38,
6368,52,31517,15:14:23,
6354,53,37412,15:14:54,
6353,54,29001,15:12:58,
6373,54,27030,15:14:07,
6360,54,33256,15:14:29,
6389,54,28703,15:15:43,
6383,56,26720,15:17:30,
6365,58,24834,15:19:15,
6393,60,38938,15:19:56,
6365,62,22570,15:25:05,
6373,70,24651,15:36:11,
