sessionId,entrantId,positionOrder,positionText,laps,time
1996-07-WU,6404,1,1,9,103353
1996-07-WU,6400,2,2,5,104219
1996-07-WU,6408,3,3,7,105824
1996-07-WU,6402,4,4,7,105934
1996-07-WU,6401,5,5,5,105968
1996-07-WU,6413,6,6,7,106132
1996-07-WU,6407,7,7,9,106312
1996-07-WU,6410,8,8,7,106682
1996-07-WU,6412,9,9,9,106687
1996-07-WU,6403,10,10,6,107064
1996-07-WU,6411,11,11,8,107114
1996-07-WU,6419,12,12,8,107811
1996-07-WU,6405,13,13,7,107910
1996-07-WU,6415,14,14,6,108102
1996-07-WU,6406,15,15,7,108344
1996-07-WU,6417,16,16,7,109266
1996-07-WU,6416,17,17,6,110401
1996-07-WU,6418,18,18,7,110782
1996-07-WU,6409,19,19,7,111580
1996-07-WU,6414,20,20,3,115684
