sessionId,entrantId,positionOrder,positionText,laps,time
1996-08-WU,6404,1,1,11,81978
1996-08-WU,6405,2,2,15,82121
1996-08-WU,6410,3,3,15,82213
1996-08-WU,6411,4,4,14,82475
1996-08-WU,6408,5,5,15,82660
1996-08-WU,6406,6,6,15,82668
1996-08-WU,6413,7,7,15,82919
1996-08-WU,6407,8,8,13,82974
1996-08-WU,6403,9,9,14,83078
1996-08-WU,6412,10,10,19,83098
1996-08-WU,6401,11,11,13,83178
1996-08-WU,6402,12,12,14,83179
1996-08-WU,6400,13,13,15,83364
1996-08-WU,6417,14,14,13,83802
1996-08-WU,6415,15,15,15,83862
1996-08-WU,6416,16,16,14,83956
1996-08-WU,6409,17,17,17,84201
1996-08-WU,6419,18,18,17,84502
1996-08-WU,6418,19,19,15,85030
1996-08-WU,6423,20,20,11,85280
1996-08-WU,6414,21,21,15,85685
1996-08-WU,6424,22,22,4,97566
