sessionId,entrantId,positionOrder,positionText,laps,time
1996-15-FP2,6400,1,1,19,81858
1996-15-FP2,6404,2,2,20,81867
1996-15-FP2,6405,3,3,21,82268
1996-15-FP2,6401,4,4,16,82469
1996-15-FP2,6402,5,5,21,82664
1996-15-FP2,6425,6,6,27,82668
1996-15-FP2,6410,7,7,22,82705
1996-15-FP2,6403,8,8,25,82796
1996-15-FP2,6413,9,9,21,83249
1996-15-FP2,6408,10,10,26,83422
1996-15-FP2,6411,11,11,28,83436
1996-15-FP2,6417,12,12,30,83523
1996-15-FP2,6416,13,13,25,83653
1996-15-FP2,6412,14,14,22,83675
1996-15-FP2,6426,15,15,26,84330
1996-15-FP2,6418,16,16,27,85023
1996-15-FP2,6409,17,17,23,85270
1996-15-FP2,6415,18,18,11,85339
1996-15-FP2,6414,19,19,20,85402
1996-15-FP2,6427,20,20,15,87963
