sessionId,entrantId,positionOrder,positionText,laps,time
1997-10-WU,6430,1,1,11,105006
1997-10-WU,6428,2,2,9,105347
1997-10-WU,6439,3,3,13,105403
1997-10-WU,6431,4,4,12,105483
1997-10-WU,6435,5,5,11,105497
1997-10-WU,6438,6,6,12,105782
1997-10-WU,6437,7,7,10,106138
1997-10-WU,6436,8,8,12,106258
1997-10-WU,6455,9,9,13,106376
1997-10-WU,6434,10,10,12,106448
1997-10-WU,6429,11,11,12,106477
1997-10-WU,6454,12,12,14,106560
1997-10-WU,6441,13,13,12,106655
1997-10-WU,6432,14,14,13,106662
1997-10-WU,6448,15,15,9,106797
1997-10-WU,6442,16,16,13,106919
1997-10-WU,6433,17,17,12,107502
1997-10-WU,6456,18,18,13,107775
1997-10-WU,6445,19,19,11,108420
1997-10-WU,6444,20,20,10,109418
1997-10-WU,6449,21,21,6,110058
1997-10-WU,6446,22,22,13,110614
