entrantId,lap,time,timeOfDay,annotation
6442,16,28606,14:22:08,
6459,20,30013,14:27:21,
6460,21,29513,14:28:57,
6445,22,30953,14:30:40,
6452,23,28675,14:31:52,
6444,24,28203,14:33:31,
6436,28,27598,14:37:31,
6457,28,28829,14:37:46,
6458,30,27760,14:41:12,
6437,31,26197,14:41:46,
6428,36,56103,14:49:23,
6448,37,30898,14:50:23,
6449,39,32656,14:53:29,
6429,39,30522,14:53:32,
6440,40,30440,14:54:55,
6452,40,52135,14:55:21,
6444,40,31608,14:56:00,
6442,42,27929,14:57:51,
6445,42,28916,14:58:35,
6459,44,28955,15:00:17,
6460,45,28461,15:01:42,
6458,47,28740,15:04:22,
6457,49,28165,15:06:27,
