sessionId,entrantId,positionOrder,positionText,laps,time
1997-16-WU,6436,1,1,12,98113
1997-16-WU,6438,2,2,14,98547
1997-16-WU,6458,3,3,10,99084
1997-16-WU,6432,4,4,12,99163
1997-16-WU,6433,5,5,13,99233
1997-16-WU,6440,6,6,13,99370
1997-16-WU,6442,7,7,13,99418
1997-16-WU,6441,8,8,13,99553
1997-16-WU,6437,9,9,10,99784
1997-16-WU,6457,10,10,13,100061
1997-16-WU,6428,11,11,11,100227
1997-16-WU,6439,12,12,13,100312
1997-16-WU,6449,13,13,11,100345
1997-16-WU,6429,14,14,13,100576
1997-16-WU,6460,15,15,12,100685
1997-16-WU,6456,16,16,15,101480
1997-16-WU,6446,17,17,11,101685
1997-16-WU,6448,18,18,14,101983
1997-16-WU,6445,19,19,13,102021
1997-16-WU,6444,20,20,10,102835
1997-16-WU,6459,21,21,6,104098
