sessionId,entrantId,positionOrder,positionText,laps,time
1997-17-FP1,6440,1,1,28,82735
1997-17-FP1,6428,2,2,29,82898
1997-17-FP1,6457,3,3,29,82922
1997-17-FP1,6448,4,4,26,82964
1997-17-FP1,6436,5,5,20,83024
1997-17-FP1,6458,6,6,30,83124
1997-17-FP1,6459,7,7,21,83174
1997-17-FP1,6437,8,8,15,83440
1997-17-FP1,6432,9,9,24,83532
1997-17-FP1,6438,10,10,22,83678
1997-17-FP1,6449,11,11,20,83685
1997-17-FP1,6433,12,12,25,83695
1997-17-FP1,6460,13,13,22,83923
1997-17-FP1,6439,14,14,25,84263
1997-17-FP1,6446,15,15,23,84329
1997-17-FP1,6442,16,16,29,84507
1997-17-FP1,6441,17,17,28,84735
1997-17-FP1,6429,18,18,28,84797
1997-17-FP1,6445,19,19,25,85025
1997-17-FP1,6455,20,20,28,85134
1997-17-FP1,6444,21,21,20,85327
1997-17-FP1,6456,22,22,9,86816
