sessionId,entrantId,positionOrder,positionText,laps,time
1997-17-Q,6457,1,1,11,81072
1997-17-Q,6432,2,2,11,81072
1997-17-Q,6458,3,3,12,81072
1997-17-Q,6428,4,4,12,81130
1997-17-Q,6436,5,5,11,81369
1997-17-Q,6437,6,6,10,81476
1997-17-Q,6433,7,7,11,81610
1997-17-Q,6460,8,8,11,81656
1997-17-Q,6440,9,9,11,81735
1997-17-Q,6459,10,10,11,82011
1997-17-Q,6449,11,11,11,82167
1997-17-Q,6448,12,12,12,82222
1997-17-Q,6429,13,13,11,82234
1997-17-Q,6442,14,14,12,82263
1997-17-Q,6441,15,15,12,82351
1997-17-Q,6438,16,16,11,82740
1997-17-Q,6439,17,17,12,82804
1997-17-Q,6455,18,18,12,83281
1997-17-Q,6446,19,19,12,83409
1997-17-Q,6456,20,20,12,83854
1997-17-Q,6445,21,21,9,84222
1997-17-Q,6444,22,22,12,84301
