sessionId,entrantId,positionOrder,positionText,laps,time
1998-03-FP1,6467,1,1,16,88130
1998-03-FP1,6463,2,2,22,89114
1998-03-FP1,6468,3,3,15,89488
1998-03-FP1,6461,4,4,20,89610
1998-03-FP1,6464,5,5,29,89781
1998-03-FP1,6470,6,6,24,89845
1998-03-FP1,6480,7,7,27,90054
1998-03-FP1,6462,8,8,16,90317
1998-03-FP1,6469,9,9,35,90645
1998-03-FP1,6473,10,10,14,90859
1998-03-FP1,6465,11,11,22,90963
1998-03-FP1,6474,12,12,16,91081
1998-03-FP1,6471,13,13,16,91297
1998-03-FP1,6472,14,14,24,91428
1998-03-FP1,6477,15,15,20,91727
1998-03-FP1,6479,16,16,25,91761
1998-03-FP1,6466,17,17,23,91850
1998-03-FP1,6476,18,18,22,92257
1998-03-FP1,6475,19,19,18,92660
1998-03-FP1,6481,20,20,19,93390
1998-03-FP1,6482,21,21,18,93731
1998-03-FP1,6478,22,22,18,94829
