entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
6463,1,1,6516175,2,,72,10,1,10,,,
6468,2,2,6539074,3,,72,6,1,6,22899,,
6464,3,3,6573920,4,,72,4,1,4,57745,,
6466,4,4,6584309,8,,72,3,1,3,"01:08,13",,
6473,5,5,6594461,11,,72,2,1,2,"01:18,29",,
6467,6,6,6595926,1,,72,1,1,1,"01:19,75",,
6465,7,7,6604613,10,,72,0,1,0,"01:28,44",,
6469,8,8,,9,,71,0,1,0,+1 lap,,
6462,9,9,,6,,71,0,1,0,+1 lap,,
6477,10,10,,14,,70,0,1,0,+2 laps,,
6472,11,11,,16,,70,0,1,0,+2 laps,,
6480,12,12,,13,,70,0,1,0,+2 laps,,
6481,13,13,,19,,69,0,1,0,+3 laps,,
6479,14,14,,21,,68,0,1,0,+4 laps,,
6471,15,15,,15,,65,0,1,0,,,Engine
6482,16,DNF,,20,,63,0,1,0,,,Spun off
6461,17,DNF,,7,,52,0,1,0,,,Collision
6474,18,DNF,,12,,46,0,1,0,,,Collision
6470,19,DNF,,5,,22,0,1,0,,,Suspension
6476,20,DNF,,17,,18,0,1,0,,,Gearbox
6478,21,DNF,,22,,17,0,1,0,,,Transmission
6475,22,DNF,,18,,13,0,1,0,,,Gearbox
