sessionId,entrantId,positionOrder,positionText,laps,time
1998-03-WU,6473,1,1,13,107594
1998-03-WU,6468,2,2,12,108025
1998-03-WU,6463,3,3,12,108501
1998-03-WU,6465,4,4,11,109030
1998-03-WU,6464,5,5,12,109046
1998-03-WU,6461,6,6,13,109224
1998-03-WU,6476,7,7,13,109314
1998-03-WU,6467,8,8,11,109435
1998-03-WU,6477,9,9,11,109568
1998-03-WU,6471,10,10,13,109673
1998-03-WU,6466,11,11,11,109735
1998-03-WU,6472,12,12,11,110607
1998-03-WU,6480,13,13,11,111150
1998-03-WU,6462,14,14,10,111159
1998-03-WU,6469,15,15,10,111240
1998-03-WU,6478,16,16,12,111257
1998-03-WU,6470,17,17,12,112048
1998-03-WU,6481,18,18,11,112483
1998-03-WU,6482,19,19,8,112824
1998-03-WU,6479,20,20,11,113166
1998-03-WU,6475,21,21,4,113294
1998-03-WU,6474,22,22,3,559807
