sessionId,entrantId,positionOrder,positionText,laps,time
1998-07-Q,6467,1,1,11,78213
1998-07-Q,6468,2,2,11,78282
1998-07-Q,6463,3,3,12,78497
1998-07-Q,6465,4,4,12,78826
1998-07-Q,6470,5,5,12,79242
1998-07-Q,6461,6,6,12,79588
1998-07-Q,6462,7,7,12,79614
1998-07-Q,6464,8,8,12,79616
1998-07-Q,6473,9,9,12,79693
1998-07-Q,6469,10,10,12,79717
1998-07-Q,6466,11,11,12,79765
1998-07-Q,6474,12,12,12,79845
1998-07-Q,6477,13,13,8,79953
1998-07-Q,6472,14,14,11,80188
1998-07-Q,6471,15,15,11,80303
1998-07-Q,6480,16,16,12,80328
1998-07-Q,6476,17,17,12,80536
1998-07-Q,6481,18,18,12,81230
1998-07-Q,6475,19,19,12,81301
1998-07-Q,6478,20,20,11,81629
1998-07-Q,6482,21,21,12,81822
1998-07-Q,6479,22,22,12,81824
