entrantId,lap,time,timeOfDay,annotation
6464,1,53521,13:29:06,Red flag
6475,14,29034,13:50:21,
6479,15,30607,13:51:19,
6463,20,25532,13:59:10,
6477,21,29162,14:01:22,
6479,21,30341,14:01:33,
6461,23,460133,14:05:04,
6482,23,35029,14:05:31,
6463,35,27034,14:21:10,
6478,35,27799,14:21:37,
6475,37,31445,14:25:37,
6464,38,25540,14:25:46,
6469,39,28182,14:26:59,
6481,39,29094,14:27:17,
6466,40,27997,14:28:30,
6469,41,36699,14:30:50,
6469,42,172748,14:33:25,
6465,44,27419,14:33:22,
6477,48,25631,14:39:41,
6463,50,24092,14:41:39,
6464,55,23516,14:49:18,
6479,62,25249,15:00:19,
