sessionId,entrantId,positionOrder,positionText,laps,time
1998-14-Q,6463,1,1,9,85289
1998-14-Q,6461,2,2,12,85561
1998-14-Q,6468,3,3,10,85679
1998-14-Q,6467,4,4,11,85987
1998-14-Q,6464,5,5,11,86159
1998-14-Q,6470,6,6,11,86309
1998-14-Q,6466,7,7,10,86567
1998-14-Q,6473,8,8,12,86637
1998-14-Q,6471,9,9,11,86681
1998-14-Q,6472,10,10,12,86794
1998-14-Q,6465,11,11,10,86817
1998-14-Q,6462,12,12,10,86836
1998-14-Q,6477,13,13,10,87247
1998-14-Q,6469,14,14,12,87362
1998-14-Q,6474,15,15,9,87510
1998-14-Q,6476,16,16,9,87744
1998-14-Q,6483,17,17,11,88212
1998-14-Q,6479,18,18,12,88286
1998-14-Q,6480,19,19,8,88346
1998-14-Q,6475,20,20,9,88387
1998-14-Q,6481,21,21,9,89101
1998-14-Q,6482,22,22,12,89417
