sessionId,entrantId,positionOrder,positionText,laps,time
1998-15-FP1,6468,1,1,26,79689
1998-15-FP1,6465,2,2,34,80325
1998-15-FP1,6461,3,3,35,80326
1998-15-FP1,6463,4,4,32,80461
1998-15-FP1,6467,5,5,28,80577
1998-15-FP1,6464,6,6,33,80841
1998-15-FP1,6466,7,7,37,81014
1998-15-FP1,6462,8,8,35,81174
1998-15-FP1,6470,9,9,22,81351
1998-15-FP1,6471,10,10,44,81391
1998-15-FP1,6477,11,11,28,81538
1998-15-FP1,6469,12,12,41,81738
1998-15-FP1,6472,13,13,47,81764
1998-15-FP1,6473,14,14,38,81952
1998-15-FP1,6475,15,15,41,82485
1998-15-FP1,6483,16,16,25,82566
1998-15-FP1,6474,17,17,31,82603
1998-15-FP1,6480,18,18,35,82792
1998-15-FP1,6481,19,19,39,82967
1998-15-FP1,6482,20,20,43,83331
1998-15-FP1,6479,21,21,27,83644
1998-15-FP1,6476,22,22,25,84004
