sessionId,entrantId,positionOrder,positionText,laps,time
1999-02-WU,6484,1,1,13,77709
1999-02-WU,6485,2,2,13,77749
1999-02-WU,6486,3,3,16,78295
1999-02-WU,6500,4,4,15,78497
1999-02-WU,6498,5,5,16,79011
1999-02-WU,6491,6,6,19,79108
1999-02-WU,6490,7,7,17,79112
1999-02-WU,6487,8,8,12,79171
1999-02-WU,6504,9,9,12,79216
1999-02-WU,6489,10,10,19,79389
1999-02-WU,6488,11,11,14,79541
1999-02-WU,6495,12,12,15,79565
1999-02-WU,6499,13,13,13,79605
1999-02-WU,6492,14,14,18,79612
1999-02-WU,6494,15,15,18,79710
1999-02-WU,6501,16,16,13,79715
1999-02-WU,6496,17,17,15,79994
1999-02-WU,6493,18,18,17,80418
1999-02-WU,6497,19,19,10,80593
1999-02-WU,6506,20,20,18,80764
1999-02-WU,6503,21,21,16,81274
