sessionId,entrantId,positionOrder,positionText,laps,time
1999-10-FP2,6490,1,1,28,103918
1999-10-FP2,6484,2,2,24,104001
1999-10-FP2,6498,3,3,23,104119
1999-10-FP2,6491,4,4,24,104142
1999-10-FP2,6500,5,5,30,104442
1999-10-FP2,6485,6,6,24,104526
1999-10-FP2,6487,7,7,26,104695
1999-10-FP2,6501,8,8,27,104726
1999-10-FP2,6508,9,9,25,104839
1999-10-FP2,6504,10,10,27,104860
1999-10-FP2,6489,11,11,21,104960
1999-10-FP2,6492,12,12,29,105428
1999-10-FP2,6493,13,13,29,105651
1999-10-FP2,6503,14,14,19,105651
1999-10-FP2,6488,15,15,29,105709
1999-10-FP2,6495,16,16,33,105838
1999-10-FP2,6505,17,17,17,105894
1999-10-FP2,6494,18,18,22,106156
1999-10-FP2,6496,19,19,21,106224
1999-10-FP2,6502,20,20,14,106543
1999-10-FP2,6497,21,21,18,106732
1999-10-FP2,6499,22,22,5,675684
