sessionId,entrantId,positionOrder,positionText,laps,time
1999-12-Q,6484,1,1,8,110329
1999-12-Q,6485,2,2,9,110484
1999-12-Q,6491,3,3,10,111332
1999-12-Q,6490,4,4,10,111372
1999-12-Q,6489,5,5,9,111414
1999-12-Q,6487,6,6,12,111895
1999-12-Q,6498,7,7,11,111974
1999-12-Q,6488,8,8,12,112014
1999-12-Q,6508,9,9,10,112124
1999-12-Q,6499,10,10,12,112164
1999-12-Q,6504,11,11,8,112235
1999-12-Q,6501,12,12,11,112644
1999-12-Q,6492,13,13,12,112762
1999-12-Q,6505,14,14,8,112840
1999-12-Q,6493,15,15,11,112847
1999-12-Q,6494,16,16,12,112921
1999-12-Q,6500,17,17,12,113148
1999-12-Q,6495,18,18,10,113778
1999-12-Q,6497,19,19,11,114099
1999-12-Q,6502,20,20,11,114197
1999-12-Q,6503,21,21,12,114557
1999-12-Q,6496,22,22,12,114579
