sessionId,entrantId,positionOrder,positionText,laps,time
2000-03-Q,6509,1,1,12,84714
2000-03-Q,6511,2,2,11,84805
2000-03-Q,6510,3,3,12,85014
2000-03-Q,6512,4,4,12,85242
2000-03-Q,6517,5,5,9,85871
2000-03-Q,6513,6,6,12,85892
2000-03-Q,6515,7,7,12,85929
2000-03-Q,6514,8,8,12,86002
2000-03-Q,6529,9,9,12,86124
2000-03-Q,6523,10,10,12,86238
2000-03-Q,6520,11,11,12,86281
2000-03-Q,6524,12,12,12,86336
2000-03-Q,6525,13,13,12,86349
2000-03-Q,6530,14,14,11,86814
2000-03-Q,6521,15,15,12,86824
2000-03-Q,6526,16,16,11,86845
2000-03-Q,6516,17,17,11,87051
2000-03-Q,6518,18,18,11,87135
2000-03-Q,6519,19,19,11,87253
2000-03-Q,6528,20,20,12,88161
2000-03-Q,6527,21,21,11,88333
2000-03-Q,6522,22,22,8,88361
