sessionId,entrantId,positionOrder,positionText,laps,time
2000-07-FP2,6510,1,1,25,80405
2000-07-FP2,6511,2,2,34,80503
2000-07-FP2,6519,3,3,40,80599
2000-07-FP2,6514,4,4,30,80863
2000-07-FP2,6509,5,5,22,80910
2000-07-FP2,6512,6,6,30,80998
2000-07-FP2,6521,7,7,24,81072
2000-07-FP2,6520,8,8,27,81213
2000-07-FP2,6513,9,9,22,81249
2000-07-FP2,6517,10,10,24,81396
2000-07-FP2,6525,11,11,29,81401
2000-07-FP2,6515,12,12,27,81411
2000-07-FP2,6516,13,13,28,82023
2000-07-FP2,6518,14,14,31,82206
2000-07-FP2,6524,15,15,30,82338
2000-07-FP2,6523,16,16,25,82488
2000-07-FP2,6526,17,17,30,82642
2000-07-FP2,6529,18,18,31,82971
2000-07-FP2,6530,19,19,40,83088
2000-07-FP2,6522,20,20,21,83631
2000-07-FP2,6527,21,21,34,83657
2000-07-FP2,6528,22,22,39,84246
