sessionId,entrantId,positionOrder,positionText,laps,time
2000-15-Q,6511,1,1,12,74266
2000-15-Q,6510,2,2,12,74392
2000-15-Q,6509,3,3,12,74428
2000-15-Q,6512,4,4,12,74600
2000-15-Q,6533,5,5,12,75006
2000-15-Q,6518,6,6,12,75017
2000-15-Q,6532,7,7,11,75067
2000-15-Q,6529,8,8,10,75317
2000-15-Q,6523,9,9,12,75418
2000-15-Q,6517,10,10,11,75484
2000-15-Q,6520,11,11,10,75762
2000-15-Q,6530,12,12,12,75784
2000-15-Q,6526,13,13,12,75808
2000-15-Q,6524,14,14,12,75881
2000-15-Q,6519,15,15,12,75907
2000-15-Q,6522,16,16,12,76060
2000-15-Q,6515,17,17,12,76098
2000-15-Q,6525,18,18,12,76143
2000-15-Q,6516,19,19,12,76225
2000-15-Q,6521,20,20,11,76471
2000-15-Q,6528,21,21,11,76809
2000-15-Q,6527,22,22,11,77161
