sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2001-04-R,6538,1,1,5444817,3,,62,10,1,10,,,
2001-04-R,6537,2,2,5449169,1,,62,6,1,6,4352,,
2001-04-R,6535,3,3,5479583,6,,62,4,1,4,34766,,
2001-04-R,6536,4,4,5481132,2,,62,3,1,3,36315,,
2001-04-R,6545,5,5,5530375,5,,62,2,1,2,"01:25,56",,
2001-04-R,6544,6,6,,9,,61,1,1,1,+1 lap,,
2001-04-R,6548,7,7,,12,,61,0,1,0,+1 lap,,
2001-04-R,6542,8,8,,8,,61,0,1,0,+1 lap,,
2001-04-R,6554,9,9,,14,,61,0,1,0,+1 lap,,
2001-04-R,6547,10,10,,16,,60,0,1,0,+2 laps,,
2001-04-R,6551,11,11,,15,,60,0,1,0,+2 laps,,
2001-04-R,6541,12,12,,21,,60,0,1,0,+2 laps,,
2001-04-R,6552,13,DNF,,22,,50,0,1,0,,,Engine
2001-04-R,6539,14,DNF,,7,,48,0,1,0,,,Clutch
2001-04-R,6550,15,DNF,,13,,42,0,1,0,,,Engine
2001-04-R,6540,16,DNF,,19,,31,0,1,0,,,Engine
2001-04-R,6543,17,DNF,,11,,30,0,1,0,,,Engine
2001-04-R,6555,18,DNF,,20,,28,0,1,0,,,Engine
2001-04-R,6534,19,DNF,,4,,24,0,1,0,,,Suspension
2001-04-R,6549,20,DNF,,10,,17,0,1,0,,,Steering
2001-04-R,6546,21,DNF,,17,,6,0,1,0,,,Exhaust
2001-04-R,6553,22,DNF,,18,,5,0,1,0,,,Brakes
