entrantId,lap,time,timeOfDay,annotation
6549,15,27236,14:22:08,
6541,19,26162,14:27:46,
6540,20,24324,14:29:06,
6535,21,23585,14:29:41,
6548,21,25983,14:29:59,
6554,22,25312,14:31:51,
6542,23,24669,14:32:48,
6538,24,26987,14:33:20,
6544,24,33610,14:33:50,
6534,25,24167,14:34:40,
6545,25,25915,14:35:06,
6557,25,25920,14:35:29,
6546,25,47249,14:35:43,
6537,26,25951,14:36:01,
6552,26,27287,14:37:43,
6550,27,25938,14:37:54,
6556,28,24712,14:40:57,
6539,30,25998,14:41:17,
6537,32,26880,14:44:06,
6535,36,24747,14:49:17,
6553,36,29282,14:51:08,
6549,40,27375,14:55:16,
6548,42,27435,14:57:40,
6556,43,27237,15:01:05,
6538,44,25412,14:59:39,
6540,44,26796,15:01:07,
6541,44,37551,15:01:16,
6534,45,27370,15:00:36,
6542,45,26294,15:02:02,
6546,45,26028,15:03:01,
6544,46,25460,15:03:10,
6545,47,25172,15:04:08,
6554,47,25344,15:05:36,
6550,48,26660,15:05:39,
6557,48,26035,15:06:25,
6539,50,25459,15:07:22,
6552,50,25603,15:10:31,
6537,51,24232,15:08:59,
6535,54,24262,15:12:46,
