sessionId,entrantId,positionOrder,positionText,laps,time
2001-12-Q,6539,1,1,8,98117
2001-12-Q,6538,2,2,12,98136
2001-12-Q,6536,3,3,10,98811
2001-12-Q,6534,4,4,11,98941
2001-12-Q,6537,5,5,9,99574
2001-12-Q,6535,6,6,11,99682
2001-12-Q,6548,7,7,12,99921
2001-12-Q,6549,8,8,12,100072
2001-12-Q,6556,9,9,12,100265
2001-12-Q,6545,10,10,8,100322
2001-12-Q,6550,11,11,12,100371
2001-12-Q,6543,12,12,12,100437
2001-12-Q,6542,13,13,11,100610
2001-12-Q,6554,14,14,12,100724
2001-12-Q,6558,15,15,12,101174
2001-12-Q,6557,16,16,11,101213
2001-12-Q,6540,17,17,12,101299
2001-12-Q,6541,18,18,10,101438
2001-12-Q,6547,19,19,11,101668
2001-12-Q,6546,20,20,11,101870
2001-12-Q,6553,21,21,12,101913
2001-12-Q,6552,22,22,11,102716
