sessionId,entrantId,positionOrder,positionText,laps,time
2001-13-Q,6534,1,1,6,74059
2001-13-Q,6537,2,2,11,74860
2001-13-Q,6535,3,3,11,74953
2001-13-Q,6538,4,4,12,75095
2001-13-Q,6559,5,5,10,75394
2001-13-Q,6536,6,6,11,75411
2001-13-Q,6548,7,7,9,75739
2001-13-Q,6539,8,8,11,75881
2001-13-Q,6549,9,9,12,75906
2001-13-Q,6543,10,10,11,76212
2001-13-Q,6542,11,11,8,76382
2001-13-Q,6560,12,12,12,76471
2001-13-Q,6556,13,13,10,76543
2001-13-Q,6550,14,14,11,76607
2001-13-Q,6540,15,15,11,76632
2001-13-Q,6561,16,16,12,77196
2001-13-Q,6541,17,17,12,77535
2001-13-Q,6553,18,18,11,77624
2001-13-Q,6557,19,19,12,78238
2001-13-Q,6547,20,20,11,78258
2001-13-Q,6546,21,21,12,78389
2001-13-Q,6552,22,22,11,79139
