entrantId,lap,time,timeOfDay,annotation
6541,1,25200,14:05:18,
6553,17,24267,14:29:02,
6534,18,24881,14:29:35,
6546,18,23518,14:30:13,
6535,19,30765,14:30:50,
6560,22,22885,14:35:57,
6549,22,27724,14:36:00,
6547,27,26349,14:43:50,
6562,27,26975,14:45:28,
6539,28,26581,14:43:56,
6548,28,23546,14:45:21,
6540,30,24621,14:48:13,
6560,32,25567,14:50:55,
6542,32,24463,14:51:05,
6563,32,26421,14:51:23,
6543,33,24447,14:52:09,
6553,33,70931,14:53:20,
6538,35,22697,14:54:18,
6556,36,23605,14:56:27,
6534,40,21174,15:01:48,
6535,41,20754,15:02:57,
