entrantId,lap,time,timeOfDay,annotation
6549,2,30837,13:06:03,
6538,24,26975,13:33:51,
6562,26,25011,13:37:29,
6535,27,22874,13:37:22,
6548,27,22423,13:37:49,
6541,35,26662,13:48:30,
6539,36,27484,13:48:49,
6546,36,25916,13:50:13,
6560,37,26611,13:50:52,
6547,37,27648,13:51:21,
6563,37,27132,13:51:36,
6562,38,58200,13:54:25,
6534,39,25569,13:52:40,
6559,39,25918,13:53:17,
6540,41,24460,13:56:10,
6561,42,25112,13:57:35,
6537,43,23067,13:57:54,
6543,43,13083,13:59:21,
6542,44,26324,14:00:15,
6543,44,24738,14:01:04,
6536,46,23350,14:01:33,
6548,48,22457,14:05:05,
6535,50,22214,14:06:43,
6556,50,28429,14:08:10,
6550,52,22560,14:10:11,
