sessionId,entrantId,positionOrder,positionText,laps,time
2001-17-FP1,6560,1,1,32,95454
2001-17-FP1,6539,2,2,44,95977
2001-17-FP1,6556,3,3,38,96225
2001-17-FP1,6536,4,4,34,96430
2001-17-FP1,6561,5,5,41,96439
2001-17-FP1,6550,6,6,42,96589
2001-17-FP1,6537,7,7,33,96638
2001-17-FP1,6534,8,8,34,96727
2001-17-FP1,6538,9,9,32,96874
2001-17-FP1,6535,10,10,33,96994
2001-17-FP1,6559,11,11,34,97564
2001-17-FP1,6541,12,12,34,97645
2001-17-FP1,6548,13,13,20,97665
2001-17-FP1,6543,14,14,30,98312
2001-17-FP1,6549,15,15,31,98315
2001-17-FP1,6540,16,16,24,98398
2001-17-FP1,6553,17,17,30,98961
2001-17-FP1,6542,18,18,33,99108
2001-17-FP1,6546,19,19,34,99511
2001-17-FP1,6547,20,20,33,99744
2001-17-FP1,6562,21,21,32,99952
2001-17-FP1,6563,22,22,18,101216
