entrantId,lap,time,timeOfDay,annotation
6561,3,35314,14:39:05,
6535,15,28936,14:58:01,
6559,16,29898,15:00:05,
6540,16,29771,15:00:06,
6542,16,41709,15:00:45,
6546,17,30053,15:02:23,
6534,18,30512,15:02:41,
6562,18,32183,15:05:06,
6543,19,29437,15:05:12,
6548,19,29333,15:05:15,
6547,19,31590,15:05:59,
6541,20,32568,15:06:44,
6539,21,30030,15:07:45,
6553,21,31228,15:09:04,
6563,21,31712,15:09:08,
6547,21,33542,15:09:54,
6561,22,30105,15:11:15,
6538,23,30467,15:11:07,
6537,23,28174,15:11:27,
6550,23,28285,15:11:45,
6536,24,28918,15:13:00,
6556,26,33548,15:17:11,
6535,29,34586,15:21:19,
6538,29,32021,15:21:23,
6542,32,31260,15:28:31,
6559,33,32093,15:28:46,
6548,33,30071,15:28:53,
6546,33,31065,15:30:13,
6543,34,30562,15:30:28,
6562,34,31806,15:33:41,
6540,35,30040,15:32:05,
6563,35,25302,15:33:29,
6546,35,31666,15:34:03,
6534,36,30039,15:32:34,
6563,36,39235,15:35:32,
6553,37,30653,15:36:14,
6547,37,30606,15:37:53,
6539,38,29195,15:35:54,
6536,38,28774,15:36:16,
6541,38,29450,15:37:07,
6561,38,28720,15:38:15,
6537,39,27890,15:38:00,
6538,39,30682,15:38:14,
6535,41,28534,15:41:28,
6556,41,29570,15:42:42,
6563,41,69393,15:45:00,
