sessionId,entrantId,positionOrder,positionText,laps,time
2002-02-WU,6565,1,1,10,99611
2002-02-WU,6564,2,2,14,99748
2002-02-WU,6566,3,3,11,99753
2002-02-WU,6576,4,4,9,99791
2002-02-WU,6570,5,5,12,99935
2002-02-WU,6577,6,6,10,100192
2002-02-WU,6569,7,7,7,100211
2002-02-WU,6579,8,8,11,100266
2002-02-WU,6568,9,9,12,100316
2002-02-WU,6580,10,10,12,100436
2002-02-WU,6571,11,11,11,100493
2002-02-WU,6581,12,12,12,100621
2002-02-WU,6573,13,13,13,100783
2002-02-WU,6584,14,14,12,101093
2002-02-WU,6572,15,15,15,101466
2002-02-WU,6585,16,16,12,101510
2002-02-WU,6578,17,17,12,101521
2002-02-WU,6574,18,18,12,101600
2002-02-WU,6567,19,19,6,101638
2002-02-WU,6575,20,20,5,102101
2002-02-WU,6583,21,21,7,103058
2002-02-WU,6582,22,22,7,103719
