sessionId,entrantId,positionOrder,positionText,laps,time
2002-06-WU,6587,1,1,15,70876
2002-06-WU,6586,2,2,17,70895
2002-06-WU,6571,3,3,17,71512
2002-06-WU,6580,4,4,15,71752
2002-06-WU,6570,5,5,16,71797
2002-06-WU,6581,6,6,17,71958
2002-06-WU,6566,7,7,18,72123
2002-06-WU,6574,8,8,20,72157
2002-06-WU,6567,9,9,17,72369
2002-06-WU,6578,10,10,15,72452
2002-06-WU,6575,11,11,14,72595
2002-06-WU,6572,12,12,18,72907
2002-06-WU,6577,13,13,14,73007
2002-06-WU,6568,14,14,17,73325
2002-06-WU,6573,15,15,16,73362
2002-06-WU,6579,16,16,15,73390
2002-06-WU,6576,17,17,10,73485
2002-06-WU,6569,18,18,10,73568
2002-06-WU,6583,19,19,12,73684
2002-06-WU,6584,20,20,19,73720
2002-06-WU,6585,21,21,16,73728
2002-06-WU,6582,22,22,15,75221
