entrantId,lap,time,pos
6586,1,82753,1
6568,1,84374,2
6587,1,84874,3
6567,1,86007,4
6569,1,86825,5
6576,1,87819,6
6566,1,88635,7
6572,1,89308,8
6575,1,89778,9
6577,1,90135,10
6571,1,90470,11
6570,1,90929,12
6573,1,91475,13
6574,1,91900,14
6585,1,92523,15
6588,1,93127,16
6581,1,93431,17
6584,1,93893,18
6583,1,94624,19
6580,1,315810,20
6586,2,78884,1
6568,2,79818,2
6587,2,79961,3
6567,2,79446,4
6569,2,79354,5
6576,2,79932,6
6566,2,80016,7
6572,2,80359,8
6575,2,80569,9
6577,2,80774,10
6571,2,81042,11
6570,2,81038,12
6574,2,81412,13
6573,2,82598,14
6585,2,81940,15
6588,2,81756,16
6581,2,82303,17
6584,2,82270,18
6583,2,82126,19
6580,2,82579,20
6586,3,78090,1
6568,3,78413,2
6587,3,78788,3
6567,3,79462,4
6569,3,79301,5
6576,3,80468,6
6566,3,80060,7
6572,3,80204,8
6575,3,80393,9
6577,3,80653,10
6571,3,80102,11
6570,3,80382,12
6574,3,80691,13
6573,3,80782,14
6588,3,80737,15
6585,3,82092,16
6581,3,81211,17
6583,3,81206,18
6584,3,82214,19
6580,3,86701,20
6586,4,78193,1
6568,4,78738,2
6587,4,78874,3
6567,4,79388,4
6569,4,79193,5
6576,4,80300,6
6566,4,80243,7
6572,4,80081,8
6575,4,79841,9
6571,4,79665,10
6570,4,80206,11
6577,4,82164,12
6574,4,80960,13
6573,4,80694,14
6588,4,80547,15
6581,4,80319,16
6585,4,81501,17
6583,4,80767,18
6584,4,81208,19
6580,4,80468,20
6586,5,77879,1
6568,5,78520,2
6587,5,78545,3
6567,5,79244,4
6569,5,79965,5
6576,5,80101,6
6566,5,80165,7
6572,5,80198,8
6575,5,80403,9
6571,5,80205,10
6570,5,79494,11
6577,5,80999,12
6574,5,80282,13
6573,5,80409,14
6588,5,80618,15
6581,5,80344,16
6585,5,80579,17
6583,5,80347,18
6584,5,80425,19
6580,5,80396,20
6586,6,78214,1
6568,6,78720,2
6587,6,78633,3
6567,6,79905,4
6569,6,79639,5
6576,6,80076,6
6566,6,80223,7
6572,6,80786,8
6575,6,80988,9
6571,6,80995,10
6570,6,80866,11
6574,6,81099,12
6573,6,81134,13
6577,6,83532,14
6581,6,82042,15
6585,6,81827,16
6583,6,81749,17
6584,6,81227,18
6588,6,87985,19
6580,6,80387,20
6586,7,78198,1
6568,7,78553,2
6587,7,78414,3
6567,7,80048,4
6569,7,79711,5
6576,7,80406,6
6566,7,80186,7
6572,7,80236,8
6575,7,80442,9
6571,7,80371,10
6570,7,80657,11
6574,7,80538,12
6573,7,80519,13
6581,7,81245,14
6585,7,81321,15
6583,7,81572,16
6577,7,85955,17
6584,7,83748,18
6588,7,80991,19
6580,7,80595,20
6586,8,78298,1
6568,8,78637,2
6587,8,78794,3
6567,8,79450,4
6569,8,79653,5
6576,8,80793,6
6566,8,80719,7
6572,8,80177,8
6575,8,80017,9
6571,8,80150,10
6570,8,79915,11
6574,8,80138,12
6573,8,80489,13
6581,8,80227,14
6585,8,80400,15
6583,8,80655,16
6577,8,81876,17
6584,8,81191,18
6588,8,81146,19
6580,8,80804,20
6586,9,78579,1
6568,9,78288,2
6587,9,78475,3
6567,9,79787,4
6569,9,79528,5
6576,9,80955,6
6566,9,80925,7
6572,9,80484,8
6575,9,80357,9
6571,9,80685,10
6570,9,80266,11
6574,9,80491,12
6573,9,80406,13
6581,9,80628,14
6585,9,80790,15
6583,9,80635,16
6584,9,80720,17
6588,9,81287,18
6577,9,83987,19
6580,9,80851,20
6586,10,78320,1
6568,10,78515,2
6587,10,78440,3
6567,10,80537,4
6569,10,80573,5
6576,10,81191,6
6566,10,81239,7
6572,10,81157,8
6575,10,80711,9
6571,10,80354,10
6570,10,80745,11
6574,10,80095,12
6573,10,80182,13
6581,10,79963,14
6585,10,80027,15
6583,10,80224,16
6584,10,80364,17
6588,10,80036,18
6577,10,83201,19
6580,10,82867,20
6586,11,78992,1
6568,11,78057,2
6587,11,78112,3
6569,11,81321,4
6567,11,82749,5
6576,11,81347,6
6566,11,81266,7
6572,11,81296,8
6575,11,81144,9
6571,11,81083,10
6570,11,80892,11
6574,11,80552,12
6573,11,80206,13
6581,11,79990,14
6585,11,80217,15
6583,11,80124,16
6584,11,79770,17
6577,11,82673,18
6588,11,89638,19
6580,11,82904,20
6586,12,78216,1
6568,12,78023,2
6587,12,78059,3
6569,12,78597,4
6567,12,80531,5
6566,12,80310,6
6576,12,82095,7
6575,12,81335,8
6571,12,81976,9
6572,12,83011,10
6570,12,82211,11
6574,12,80828,12
6573,12,80836,13
6581,12,79822,14
6585,12,79824,15
6583,12,80304,16
6584,12,79374,17
6577,12,81627,18
6588,12,80982,19
6580,12,80561,20
6586,13,78053,1
6568,13,78171,2
6587,13,78100,3
6569,13,78312,4
6567,13,80018,5
6566,13,79600,6
6575,13,80073,7
6576,13,82326,8
6571,13,80976,9
6572,13,81565,10
6570,13,81496,11
6574,13,80789,12
6573,13,80824,13
6581,13,80182,14
6585,13,79642,15
6583,13,80410,16
6584,13,79461,17
6577,13,81605,18
6588,13,80625,19
6580,13,81707,20
6586,14,78246,1
6568,14,78131,2
6587,14,77883,3
6569,14,77905,4
6567,14,79654,5
6566,14,79858,6
6575,14,79457,7
6576,14,81391,8
6571,14,81501,9
6572,14,81290,10
6570,14,81491,11
6574,14,81479,12
6573,14,81115,13
6581,14,80670,14
6585,14,80313,15
6583,14,79979,16
6584,14,79661,17
6588,14,80137,18
6577,14,82018,19
6580,14,80363,20
6586,15,78035,1
6568,15,77700,2
6587,15,77954,3
6569,15,77841,4
6567,15,79772,5
6566,15,79797,6
6575,15,80014,7
6571,15,79985,8
6576,15,81924,9
6572,15,81476,10
6570,15,81396,11
6574,15,81273,12
6573,15,81361,13
6581,15,81087,14
6585,15,80889,15
6583,15,80293,16
6584,15,80093,17
6588,15,79034,18
6577,15,80962,19
6580,15,81938,20
6586,16,77565,1
6568,16,77446,2
6587,16,77567,3
6569,16,77774,4
6567,16,79339,5
6566,16,79375,6
6575,16,79482,7
6571,16,78847,8
6572,16,79954,9
6570,16,80446,10
6573,16,80324,11
6574,16,81732,12
6581,16,81411,13
6585,16,82161,14
6584,16,81814,15
6583,16,83011,16
6576,16,90195,17
6588,16,78859,18
