entrantId,lap,time,timeOfDay,annotation
6576,16,29293,14:24:29,
6571,20,30561,14:29:36,
6584,21,30599,14:31:09,
6570,22,29246,14:32:19,
6585,23,31405,14:33:48,
6574,24,30671,14:35:05,
6581,24,33327,14:35:06,
6575,25,31317,14:36:11,
6588,25,35546,14:36:38,
6587,26,29701,14:36:39,
6567,26,30535,14:37:11,
6573,26,29075,14:37:40,
6586,27,29099,14:37:54,
6572,28,52911,14:40:11,
6568,29,31191,14:40:30,
6566,29,28676,14:41:22,
6569,30,28864,14:42:04,
6576,33,18664,14:47:26,Drive-through
6567,37,45609,14:52:51,
6571,42,30403,14:59:10,
6584,43,29911,15:00:46,
6570,44,30161,15:01:45,
6573,44,32221,15:01:51,
6572,45,32682,15:03:23,
6581,45,35791,15:03:39,
6587,46,42445,15:02:58,
6586,47,29626,15:04:02,
6588,47,28921,15:06:34,
6568,48,29901,15:05:28,
6569,49,28572,15:07:03,
6566,49,29286,15:07:47,
6568,63,27917,15:25:17,
