sessionId,entrantId,positionOrder,positionText,laps,time
2002-17-Q,6586,1,1,9,91317
2002-17-Q,6587,2,2,12,91749
2002-17-Q,6566,3,3,12,92088
2002-17-Q,6567,4,4,10,92197
2002-17-Q,6568,5,5,10,92444
2002-17-Q,6569,6,6,10,92507
2002-17-Q,6573,7,7,12,93090
2002-17-Q,6572,8,8,12,93276
2002-17-Q,6574,9,9,11,93349
2002-17-Q,6577,10,10,12,93429
2002-17-Q,6576,11,11,8,93547
2002-17-Q,6570,12,12,12,93553
2002-17-Q,6584,13,13,11,93742
2002-17-Q,6588,14,14,8,93915
2002-17-Q,6571,15,15,11,93979
2002-17-Q,6575,16,16,10,94192
2002-17-Q,6589,17,17,12,94227
2002-17-Q,6585,18,18,5,95191
2002-17-Q,6583,19,19,11,95958
2002-17-Q,6582,20,20,12,96267
