sessionId,entrantId,positionOrder,positionText,laps,time
2003-13-WU,6615,1,1,6,82210
2003-13-WU,6619,2,2,6,82460
2003-13-WU,6594,3,3,5,82521
2003-13-WU,6604,4,4,6,82654
2003-13-WU,6595,5,5,6,82766
2003-13-WU,6618,6,6,4,83102
2003-13-WU,6616,7,7,6,83457
2003-13-WU,6610,8,8,6,83582
2003-13-WU,6596,9,9,4,83822
2003-13-WU,6600,10,10,4,84046
2003-13-WU,6602,11,11,5,84250
2003-13-WU,6607,12,12,7,84268
2003-13-WU,6611,13,13,5,84789
2003-13-WU,6606,14,14,5,85066
2003-13-WU,6620,15,15,5,85106
2003-13-WU,6624,16,16,7,86346
2003-13-WU,6609,17,17,4,86362
2003-13-WU,6621,18,18,4,91376
2003-13-WU,6597,19,19,5,93177
2003-13-WU,6601,20,20,4,109249
