entrantId,lap,time,pos
6629,1,93122,1
6630,1,94212,2
6636,1,95116,3
6637,1,96239,4
6635,1,97052,5
6632,1,97670,6
6631,1,98038,7
6641,1,98560,8
6638,1,99917,9
6633,1,100369,10
6634,1,101086,11
6640,1,101664,12
6643,1,102947,13
6639,1,103901,14
6645,1,104457,15
6646,1,105996,16
6647,1,106520,17
6642,1,106954,18
6644,1,107968,19
6648,1,108581,20
6629,2,85906,1
6630,2,85972,2
6636,2,86382,3
6637,2,87115,4
6635,2,87424,5
6631,2,86852,6
6632,2,88339,7
6641,2,88508,8
6638,2,89217,9
6633,2,89368,10
6634,2,89119,11
6640,2,89489,12
6643,2,90068,13
6645,2,90046,14
6639,2,91467,15
6647,2,92028,16
6646,2,93554,17
6642,2,92944,18
6644,2,93813,19
6648,2,94317,20
6629,3,84968,1
6630,3,85061,2
6636,3,85638,3
6637,3,86571,4
6635,3,86613,5
6631,3,86836,6
6632,3,86463,7
6641,3,86881,8
6638,3,87971,9
6633,3,88145,10
6634,3,88490,11
6640,3,88049,12
6643,3,89011,13
6645,3,89583,14
6639,3,88781,15
6647,3,90670,16
6646,3,90898,17
6642,3,90712,18
6644,3,91315,19
6648,3,92439,20
6629,4,84513,1
6630,4,85107,2
6636,4,85466,3
6637,4,86417,4
6635,4,86514,5
6631,4,86550,6
6632,4,86702,7
6641,4,86857,8
6638,4,88462,9
6633,4,88195,10
6634,4,88169,11
6640,4,88176,12
6643,4,88979,13
6645,4,90365,14
6639,4,90491,15
6647,4,91527,16
6642,4,90280,17
6646,4,91568,18
6644,4,90554,19
6648,4,91734,20
6629,5,84802,1
6630,5,84955,2
6636,5,85510,3
6637,5,86396,4
6635,5,86663,5
6631,5,86585,6
6632,5,86577,7
6641,5,87174,8
6638,5,88015,9
6633,5,88429,10
6634,5,88164,11
6640,5,88102,12
6643,5,88705,13
6645,5,90361,14
6639,5,90445,15
6642,5,88332,16
6647,5,91719,17
6646,5,91103,18
6644,5,90743,19
6648,5,91147,20
6629,6,84506,1
6630,6,84817,2
6636,6,85197,3
6637,6,86327,4
6635,6,86458,5
6631,6,86747,6
6632,6,86645,7
6641,6,87119,8
6638,6,88107,9
6633,6,88022,10
6634,6,87949,11
6640,6,88013,12
6643,6,88729,13
6645,6,89489,14
6639,6,89857,15
6642,6,87840,16
6647,6,91236,17
6646,6,91110,18
6644,6,90429,19
6648,6,91496,20
6629,7,84533,1
6630,7,84432,2
6636,7,85368,3
6637,7,86283,4
6635,7,86503,5
6631,7,86772,6
6632,7,86722,7
6641,7,87372,8
6638,7,87903,9
6633,7,87946,10
6634,7,87936,11
6640,7,87944,12
6643,7,88450,13
6645,7,89044,14
6639,7,89045,15
6642,7,88230,16
6647,7,91486,17
6646,7,91405,18
6644,7,91271,19
6648,7,91211,20
6629,8,84170,1
6630,8,84179,2
6636,8,85249,3
6637,8,86273,4
6635,8,86473,5
6631,8,86102,6
6632,8,86507,7
6641,8,87227,8
6638,8,87722,9
6633,8,87802,10
6634,8,88160,11
6640,8,87983,12
6643,8,88244,13
6645,8,88960,14
6642,8,88155,15
6647,8,90720,16
6646,8,91010,17
6644,8,91049,18
6648,8,90621,19
6639,8,107842,20
6629,9,84330,1
6630,9,84531,2
6636,9,85448,3
6637,9,86314,4
6635,9,86275,5
6631,9,86331,6
6632,9,86179,7
6641,9,86869,8
6638,9,87881,9
6633,9,87608,10
6634,9,88304,11
6640,9,88234,12
6643,9,87873,13
6645,9,89079,14
6642,9,88427,15
6647,9,90424,16
6646,9,90277,17
6644,9,91646,18
6648,9,90721,19
6639,9,92975,20
6629,10,84334,1
6630,10,84245,2
6636,10,85088,3
6637,10,86049,4
6635,10,86405,5
6632,10,86408,6
6641,10,86357,7
6638,10,87703,8
6633,10,87750,9
6640,10,88765,10
6631,10,107154,11
6643,10,88108,12
6645,10,89463,13
6642,10,89306,14
6647,10,90161,15
6646,10,90331,16
6644,10,91234,17
6648,10,91723,18
6639,10,89333,19
6629,11,84329,1
6630,11,103437,2
6635,11,86548,3
6632,11,85824,4
6636,11,103333,5
6641,11,86306,6
6637,11,105290,7
6638,11,87221,8
6633,11,87295,9
6640,11,86846,10
6631,11,89938,11
6643,11,89404,12
6645,11,88944,13
6642,11,89081,14
6646,11,89906,15
6644,11,90957,16
6639,11,88206,17
6647,11,110948,18
6648,11,180636,19
6629,12,105406,1
6630,12,90911,2
6641,12,86257,3
6636,12,89581,4
6633,12,87114,5
6632,12,104227,6
6635,12,106102,7
6637,12,91061,8
6640,12,87930,9
6631,12,85935,10
6638,12,106093,11
6645,12,88467,12
6642,12,88622,13
6646,12,89040,14
6643,12,119740,15
6644,12,89595,16
6639,12,88783,17
6647,12,95145,18
6648,12,96897,19
6629,13,90771,1
6630,13,85405,2
6636,13,85651,3
6633,13,86328,4
6637,13,86058,5
6632,13,89548,6
6640,13,88250,7
6635,13,91583,8
6631,13,87466,9
6641,13,107352,10
6645,13,88177,11
6642,13,88653,12
6638,13,92394,13
6646,13,88941,14
6644,13,89084,15
6643,13,92956,16
6639,13,93854,17
6647,13,92464,18
6648,13,92740,19
6629,14,85699,1
6630,14,85606,2
6636,14,85847,3
6637,14,86515,4
6632,14,85913,5
6635,14,87021,6
6631,14,87431,7
6641,14,90056,8
6633,14,108190,9
6642,14,87926,10
6638,14,87975,11
6640,14,107763,12
6645,14,106745,13
6646,14,88638,14
6643,14,88112,15
6639,14,87704,16
6644,14,110390,17
6647,14,92035,18
6629,15,85324,1
6630,15,85243,2
6636,15,86248,3
6637,15,86639,4
6632,15,86738,5
6635,15,86995,6
6631,15,87168,7
6641,15,85952,8
6633,15,90612,9
6642,15,89230,10
6638,15,89125,11
6640,15,94521,12
6646,15,88523,13
6645,15,92418,14
6643,15,88232,15
6639,15,87662,16
6644,15,96391,17
6647,15,92482,18
6629,16,85702,1
6630,16,86016,2
6636,16,86712,3
6637,16,87630,4
6632,16,87446,5
6635,16,86959,6
6631,16,87249,7
6641,16,86392,8
6633,16,87458,9
6638,16,90404,10
6640,16,88308,11
6646,16,88711,12
6645,16,88395,13
6643,16,87854,14
6639,16,87821,15
6642,16,114799,16
6644,16,89399,17
6647,16,91936,18
6629,17,85215,1
6630,17,85386,2
6636,17,85728,3
6637,17,87143,4
6632,17,87316,5
6635,17,87165,6
6631,17,86786,7
6641,17,86927,8
6633,17,87858,9
6638,17,87901,10
6640,17,88168,11
6646,17,88710,12
6645,17,89063,13
6643,17,88452,14
6639,17,88719,15
6642,17,94031,16
6644,17,89704,17
6647,17,93798,18
6629,18,86034,1
6630,18,85148,2
6636,18,85717,3
6637,18,87426,4
6632,18,87372,5
6635,18,87818,6
6631,18,86970,7
6641,18,87334,8
6633,18,88079,9
6638,18,87957,10
6640,18,87821,11
6645,18,89785,12
6643,18,88699,13
6639,18,88087,14
6642,18,90548,15
6646,18,112490,16
6644,18,89232,17
6647,18,95060,18
6629,19,85075,1
6630,19,85402,2
6636,19,85866,3
6637,19,87151,4
6632,19,87086,5
6635,19,88424,6
6631,19,88648,7
6641,19,87936,8
6633,19,88272,9
6638,19,87838,10
6640,19,92477,11
6645,19,89619,12
6643,19,88684,13
6639,19,88667,14
6642,19,88964,15
6646,19,95615,16
6644,19,89506,17
6647,19,92101,18
6629,20,85672,1
6630,20,85570,2
6636,20,85901,3
6637,20,87042,4
6632,20,87130,5
6635,20,87275,6
6631,20,87348,7
6641,20,87510,8
6633,20,88484,9
6638,20,88132,10
6640,20,87859,11
6645,20,90083,12
6643,20,91039,13
6639,20,91141,14
6642,20,88607,15
6646,20,89497,16
6644,20,93164,17
6647,20,91002,18
6629,21,86384,1
6630,21,87029,2
6636,21,86991,3
6637,21,87496,4
6632,21,87459,5
6635,21,87301,6
6631,21,87356,7
6641,21,87289,8
6633,21,87826,9
6638,21,87605,10
6640,21,87748,11
6645,21,89737,12
6643,21,88786,13
6639,21,88699,14
6642,21,89285,15
6646,21,89579,16
6644,21,93968,17
6647,21,91023,18
6629,22,84769,1
6630,22,85262,2
6636,22,87299,3
6637,22,86503,4
6632,22,86638,5
6635,22,87515,6
6631,22,87376,7
6641,22,87738,8
6633,22,87699,9
6638,22,87487,10
6640,22,88035,11
6645,22,88403,12
6643,22,88717,13
6639,22,88741,14
6642,22,88619,15
6646,22,90009,16
6644,22,90654,17
6647,22,90896,18
6629,23,84627,1
6630,23,85009,2
6636,23,85439,3
6637,23,87052,4
6632,23,86742,5
6635,23,86930,6
6631,23,86892,7
6641,23,86766,8
6633,23,87518,9
6638,23,87310,10
6640,23,87811,11
6645,23,88418,12
6643,23,88234,13
6639,23,88617,14
6642,23,88819,15
6646,23,91317,16
6644,23,89944,17
6647,23,91684,18
6629,24,84719,1
6630,24,84912,2
