entrantId,lap,time,timeOfDay,annotation
6632,3,36610,14:16:44,
6645,4,26328,14:18:33,
6631,13,27591,14:33:20,
6637,18,26169,14:39:35,
6634,19,27122,14:40:55,
6630,20,26511,14:42:22,
6640,21,25615,14:44:01,
6648,22,26394,14:46:48,
6643,23,25943,14:46:17,
6635,24,25622,14:47:03,
6644,24,27335,14:48:21,
6636,25,25287,14:48:22,
6629,26,26936,14:49:40,
6645,31,26549,14:57:40,
6632,37,27958,15:05:53,
6648,39,27023,15:11:21,
6640,41,26350,15:10:45,
6645,41,24478,15:11:23,
6637,42,26992,15:10:26,
6643,42,47844,15:11:22,
6631,42,26146,15:11:28,
6635,43,24131,15:11:32,
6643,52,14836,15:27:30,Drive-through
6630,55,23856,15:30:11,
6644,55,25026,15:32:56,
