entrantId,positionOrder,positionText,laps,time
6649,1,1,19,89447
6629,2,2,14,89631
6630,3,3,12,89865
6641,4,4,6,91448
6651,5,5,23,91587
6634,6,6,4,91643
6640,7,7,9,91673
6632,8,8,14,91680
6636,9,9,16,91768
6637,10,10,11,91770
6631,11,11,10,91782
6644,12,12,10,91910
6633,13,13,5,92301
6638,14,14,10,92500
6635,15,15,15,92696
6643,16,16,15,92915
6652,17,17,15,93925
6645,18,18,10,93971
6642,19,19,11,94402
6646,20,20,15,94488
6650,21,21,9,95043
6648,22,22,13,95186
6647,23,23,17,95455
6653,24,24,15,97609
6639,25,25,2,
