entrantId,lap,time,pos
6629,1,95316,1
6634,1,97721,2
6636,1,98568,3
6638,1,99639,4
6630,1,100500,5
6637,1,101005,6
6635,1,101285,7
6644,1,101885,8
6633,1,102457,9
6642,1,103316,10
6645,1,105514,11
6646,1,105973,12
6641,1,106270,13
6639,1,106879,14
6631,1,107444,15
6647,1,107474,16
6648,1,107745,17
6640,1,108281,18
6629,2,90112,1
6634,2,91670,2
6636,2,91596,3
6638,2,91641,4
6630,2,92234,5
6637,2,92461,6
6635,2,93240,7
6644,2,93313,8
6633,2,93700,9
6642,2,94393,10
6645,2,94168,11
6646,2,94560,12
6641,2,94834,13
6639,2,95032,14
6647,2,96352,15
6648,2,96742,16
6640,2,96475,17
6631,2,119004,18
6629,3,89745,1
6634,3,92145,2
6636,3,91714,3
6638,3,91775,4
6630,3,91499,5
6637,3,92048,6
6635,3,91889,7
6644,3,92789,8
6633,3,93606,9
6642,3,93800,10
6645,3,93073,11
6646,3,93359,12
6641,3,93568,13
6639,3,93615,14
6647,3,95916,15
6640,3,95228,16
6648,3,96590,17
6631,3,92465,18
6629,4,89742,1
6634,4,92338,2
6636,4,92407,3
6638,4,91926,4
6630,4,91971,5
6637,4,91563,6
6635,4,91555,7
6644,4,93201,8
6633,4,93912,9
6642,4,94133,10
6645,4,93582,11
6646,4,93428,12
6641,4,93591,13
6639,4,93437,14
6647,4,96731,15
6640,4,97046,16
6648,4,96968,17
6631,4,92721,18
6629,5,89694,1
6634,5,92247,2
6636,5,92375,3
6638,5,92282,4
6630,5,91909,5
6637,5,91843,6
6635,5,91853,7
6644,5,93116,8
6633,5,93407,9
6642,5,94018,10
6645,5,94332,11
6646,5,94003,12
6641,5,93728,13
6639,5,93754,14
6640,5,95089,15
6647,5,96759,16
6648,5,96797,17
6631,5,93200,18
6629,6,89635,1
6634,6,92228,2
6636,6,92250,3
6638,6,92226,4
6630,6,92093,5
6637,6,91988,6
6635,6,91790,7
6644,6,93170,8
6633,6,93454,9
6642,6,93854,10
6645,6,93846,11
6646,6,93896,12
6641,6,94028,13
6639,6,94134,14
6640,6,93688,15
6647,6,96268,16
6648,6,96172,17
6631,6,93035,18
6629,7,89468,1
6634,7,92446,2
6636,7,92258,3
6638,7,92305,4
6630,7,92322,5
6637,7,92275,6
6635,7,92327,7
6644,7,92981,8
6633,7,93242,9
6642,7,93638,10
6645,7,93714,11
6646,7,93651,12
6641,7,93695,13
6639,7,93683,14
6640,7,93253,15
6647,7,95555,16
6648,7,96724,17
6631,7,93104,18
6629,8,92071,1
6634,8,92253,2
6636,8,92337,3
6638,8,92234,4
6630,8,92120,5
6637,8,92114,6
6635,8,92013,7
6644,8,93138,8
6633,8,93166,9
6642,8,93742,10
6645,8,93721,11
6646,8,93754,12
6641,8,93746,13
6639,8,93756,14
6640,8,93040,15
6647,8,95558,16
6631,8,93687,17
6648,8,97183,18
6636,9,92067,1
6638,9,92204,2
6630,9,92318,3
6637,9,92344,4
6634,9,94895,5
6629,9,113167,6
6635,9,94677,7
6644,9,93328,8
6633,9,93872,9
6642,9,93583,10
6645,9,93808,11
6646,9,93801,12
6641,9,93664,13
6639,9,93589,14
6640,9,93097,15
6647,9,96213,16
6631,9,92898,17
6648,9,96919,18
6638,10,91040,1
6630,10,91459,2
6637,10,91491,3
6636,10,93775,4
6629,10,91205,5
6644,10,96502,6
6633,10,92865,7
6642,10,93439,8
6645,10,93276,9
6646,10,93602,10
6641,10,93593,11
6639,10,93537,12
6635,10,111649,13
6640,10,93545,14
6631,10,95601,15
6647,10,96927,16
6648,10,96761,17
6638,11,90004,1
6630,11,90996,2
6629,11,91545,3
6637,11,93752,4
6633,11,92745,5
6642,11,93353,6
6645,11,93519,7
6636,11,113402,8
6646,11,93870,9
6641,11,93762,10
6639,11,93610,11
6635,11,93580,12
6640,11,93297,13
6644,11,113050,14
6631,11,93034,15
6647,11,96417,16
6648,11,95958,17
6630,12,90446,1
6638,12,92776,2
6629,12,90803,3
6633,12,92769,4
6642,12,93375,5
6637,12,112077,6
6645,12,93792,7
6636,12,93914,8
6641,12,93702,9
6639,12,93829,10
6635,12,93650,11
6646,12,96405,12
6640,12,93043,13
6644,12,92506,14
6631,12,92990,15
6647,12,99539,16
6648,12,96068,17
6630,13,90245,1
6629,13,90601,2
6638,13,108722,3
6633,13,93108,4
6637,13,90457,5
6642,13,94115,6
6645,13,93302,7
6636,13,93386,8
6641,13,92574,9
6639,13,92933,10
6635,13,93232,11
6640,13,93302,12
6644,13,93404,13
6631,13,92646,14
6646,13,114145,15
6648,13,96367,16
6647,13,116163,17
6630,14,90101,1
6629,14,90617,2
6638,14,90018,3
6633,14,92337,4
6637,14,90776,5
6642,14,92804,6
6641,14,92603,7
6639,14,92770,8
6645,14,95619,9
6635,14,93113,10
6636,14,97025,11
6640,14,93068,12
6644,14,93031,13
6631,14,92704,14
6646,14,92800,15
6648,14,100234,16
6647,14,96178,17
6630,15,92978,1
6629,15,90710,2
6638,15,90669,3
6633,15,92575,4
6637,15,91533,5
6642,15,93109,6
6641,15,92427,7
6639,15,92497,8
6635,15,92448,9
