sessionId,entrantId,positionOrder,positionText,laps,time
2004-09-FP3,6630,1,1,9,70911
2004-09-FP3,6637,2,2,9,71071
2004-09-FP3,6629,3,3,8,71207
2004-09-FP3,6636,4,4,12,71509
2004-09-FP3,6632,5,5,14,71671
2004-09-FP3,6635,6,6,11,71723
2004-09-FP3,6638,7,7,14,71989
2004-09-FP3,6643,8,8,12,72001
2004-09-FP3,6634,9,9,7,72015
2004-09-FP3,6641,10,10,6,72128
2004-09-FP3,6642,11,11,6,72147
2004-09-FP3,6631,12,12,8,72240
2004-09-FP3,6639,13,13,10,72405
2004-09-FP3,6644,14,14,14,72451
2004-09-FP3,6633,15,15,11,72584
2004-09-FP3,6640,16,16,13,72911
2004-09-FP3,6647,17,17,12,72957
2004-09-FP3,6648,18,18,12,73396
2004-09-FP3,6645,19,19,11,73454
2004-09-FP3,6646,20,20,12,73761
